X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8477756.56791199,5312755.76231344,2023/08/07 00:00:00+00,1800,500,0 BRADFORD CT     ,,Motor Vehicle,MV THEFT,43.0051500000001,-76.156983,1
-8474596.15201994,5319959.29169773,2023/07/09 00:00:00+00,1538,1538,0 BURNET AV & MATHER ST        ,,From Motor Vehicle,LARCENY,43.0524540000001,-76.128592501,2
-8474477.9306094,5320004.53688097,2023/07/05 00:00:00+00,0026,26,0 BURNET AV & N BEECH ST        ,,,ROBBERY,43.0527510000001,-76.1275305,3
-8476238.72665502,5322079.19535077,2023/06/20 00:00:00+00,2000,2000,0 BUTTERNUT ST & GRASSMAN AV        ,,All Other,LARCENY,43.0663680000001,-76.1433479999999,4
-8476642.98349716,5321090.48701974,2023/01/16 00:00:00+00,1508,1508,0 BUTTERNUT ST & LODI ST        ,,All Other,LARCENY,43.0598790000001,-76.146979501,5
-8476357.94982966,5321464.83999971,2023/04/03 00:00:00+00,0100,105,0 BUTTERNUT ST & SCHNEIDER ST        ,,All Other,MV THEFT,43.0623360000001,-76.144419,6
-8476558.32491309,5315071.36018451,2023/09/16 00:00:00+00,2015,2015,0 CANNON ST & W BRIGHTON AV    ,,Motor Vehicle,MV THEFT,43.02036,-76.146219,7
-8476213.67988091,5320348.68165837,2023/03/28 00:00:00+00,1531,1531,0 CATHERINE ST & JAMES ST    ,Yes,Purse Snatch,LARCENY,43.05501,-76.1431230009999,8
-8478137.92199341,5316115.15188595,2023/01/08 00:00:00+00,1341,1341,0 CENTENNIAL DR     ,,,AGGRAVATED ASSAULT,43.027214912,-76.160408762,9
-8478137.92199341,5316115.15188595,2023/10/13 00:00:00+00,1800,2000,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,10
-8478137.92199341,5316115.15188595,2023/08/26 00:00:00+00,0613,613,0 CENTENNIAL DR     ,,Of Bicycle,MV THEFT,43.027214912,-76.160408762,11
-8478137.92199341,5316115.15188595,2023/09/13 00:00:00+00,0900,1200,0 CENTENNIAL DR     ,,From Building,BURGLARY,43.027214912,-76.160408762,12
-8478137.92199341,5316115.15188595,2023/05/26 00:00:00+00,1730,2157,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,13
-8478137.92199341,5316115.15188595,2023/06/26 00:00:00+00,1800,1800,0 CENTENNIAL DR     ,,All Other,LARCENY,43.027214912,-76.160408762,14
-8478137.92199341,5316115.15188595,2023/12/04 00:00:00+00,0143,143,0 CENTENNIAL DR     ,,From Building,BURGLARY,43.027214912,-76.160408762,15
-8478137.92199341,5316115.15188595,2023/05/06 00:00:00+00,2304,1703,0 CENTENNIAL DR     ,,From Building,BURGLARY,43.027214912,-76.160408762,16
-8478137.92199341,5316115.15188595,2023/08/26 00:00:00+00,2000,800,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,17
-8478137.92199341,5316115.15188595,2023/11/05 00:00:00+00,1800,1732,0 CENTENNIAL DR     ,,Motor Vehicle,MV THEFT,43.027214912,-76.160408762,18
-8478424.31787751,5317998.87751084,2023/02/11 00:00:00+00,0155,155,0 CONGRESS AV & KELLOGG ST        ,,From Motor Vehicle,LARCENY,43.039584,-76.1629814999999,19
-8478480.42301219,5316792.67316352,2023/12/01 00:00:00+00,0830,830,0 COOLIDGE AV & STERLING AV        ,Yes,Motor Vehicle,MV THEFT,43.031664,-76.163485501,20
-8477694.45163612,5322756.67867962,2023/10/17 00:00:00+00,1500,1500,0 COURT ST & SPRING ST    ,,From Building,LARCENY,43.070814,-76.156425,21
-8476194.64424799,5324195.46518568,2023/12/17 00:00:00+00,2110,2110,0 COURT ST & WADSWORTH ST    ,,,ROBBERY,43.0802550000001,-76.142952001,22
-8477788.87839419,5320670.21482752,2023/01/26 00:00:00+00,0800,1300,0 DUPLI PARK DR     ,,From Motor Vehicle,LARCENY,43.0571205000001,-76.1572732499999,23
-8477081.30388083,5319750.20695434,2023/11/11 00:00:00+00,1800,2045,0 ERIE BLVD E & JAMES ST        ,,Motor Vehicle,MV THEFT,43.0510815000001,-76.1509169999999,24
-8473084.32190416,5319745.40834302,2023/10/07 00:00:00+00,1650,1659,0 ERIE BLVD E & WESTMORELAND AV        ,,All Other,LARCENY,43.05105,-76.1150115,25
-8481879.78607991,5319796.13664448,2023/01/24 00:00:00+00,2109,2109,0 ERIE ST & AVERY AV        ,,,AGGRAVATED ASSAULT,43.051383,-76.194022499,26
-8474128.27608882,5317536.93767989,2023/09/16 00:00:00+00,0130,130,0 EUCLID AV & ACKERMAN AV        ,,All Other,LARCENY,43.036551,-76.1243894999999,27
