,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
145,2023-10-09,1448,1448,100 COLLEGE PL     ,No,All Other,LARCENY,43.0383600000001,-76.132287,146
146,2023-04-05,0000,900,100 COLLEGE PL     ,No,From Motor Vehicle,LARCENY,43.0383600000001,-76.132287,147
147,2023-05-03,2300,1700,100 COLLEGE PL     ,No,From Building,LARCENY,43.0383600000001,-76.132287,148
148,2023-09-21,1400,2215,100 COLLEGE PL     ,No,All Other,LARCENY,43.0383600000001,-76.132287,149
149,2023-02-09,1213,1252,100 COLLEGE PL     ,No,From Building,LARCENY,43.0383600000001,-76.132287,150
151,2023-11-03,1000,1800,100 COLLEGE PL     ,No,From Building,LARCENY,43.0383600000001,-76.132287,152
152,2023-02-16,1100,1220,100 COLLEGE PL     ,Yes,From Building,LARCENY,43.0383600000001,-76.132287,153
153,2023-01-25,1430,1630,100 COLLEGE PL     ,No,All Other,LARCENY,43.0383600000001,-76.132287,154
154,2023-11-06,1453,1453,100 COLLEGE PL     ,No,All Other,LARCENY,43.0383600000001,-76.132287,155
155,2023-10-11,1730,2020,100 COLLEGE PL     ,No,From Building,LARCENY,43.0383600000001,-76.132287,156
156,2023-04-06,1500,1500,100 COLLEGE PL     ,No,All Other,LARCENY,43.0383600000001,-76.132287,157
157,2023-05-10,0200,300,100 COLLEGE PL     ,No,From Building,LARCENY,43.0383600000001,-76.132287,158
158,2023-09-28,0158,158,100 COLLEGE PL     ,No,Of Bicycle,LARCENY,43.0383600000001,-76.132287,159
159,2023-10-02,1942,1942,100 COLLEGE PL     ,No,From Building,LARCENY,43.0383600000001,-76.132287,160
160,2023-08-29,1400,1700,100 COLLEGE PL     ,No,All Other,LARCENY,43.0383600000001,-76.132287,161
161,2023-05-26,0905,1615,100 COLLEGE PL     ,No,All Other,LARCENY,43.0383600000001,-76.132287,162
163,2023-10-24,1500,1717,100 COLLEGE PL     ,No,All Other,LARCENY,43.0383600000001,-76.132287,164
171,2023-03-29,1910,1915,100 CROUSE DR     ,No,Of Bicycle,LARCENY,43.0382970000001,-76.13685,172
172,2023-10-19,1525,1925,100 CROUSE DR     ,No,From Building,LARCENY,43.0382970000001,-76.13685,173
173,2023-07-06,1730,745,100 CROUSE DR     ,No,From Building,LARCENY,43.0382970000001,-76.13685,174
174,2023-10-28,1800,1845,100 CROUSE DR   ,No,From Building,LARCENY,43.0382970000001,-76.13685,175
175,2023-09-29,1200,100,100 CROUSE DR     ,No,Of Bicycle,LARCENY,43.0382970000001,-76.13685,176
176,2023-09-19,0200,1430,100 CROUSE DR     ,No,From Building,LARCENY,43.0382970000001,-76.13685,177
177,2023-03-26,1400,2130,100 CROUSE DR     ,No,All Other,LARCENY,43.0382970000001,-76.13685,178
178,2023-01-17,1250,1300,100 CROUSE DR     ,No,From Building,LARCENY,43.0382970000001,-76.13685,179
179,2023-12-20,0354,355,100 CROUSE DR     ,No,Motor Vehicle,MV THEFT,43.0382970000001,-76.13685,180
180,2023-09-28,1330,1440,100 CROUSE DR     ,No,From Building,LARCENY,43.0382970000001,-76.13685,181
220,2023-09-28,2159,2204,0 MARSHALL ST & WALNUT AV        ,No,All Other,LARCENY,43.041591,-76.132233,221
1012,2023-03-03,0244,244,100 MOUNT OLYMPUS DR     ,No,From Building,LARCENY,43.035246,-76.1323409999999,1013
1017,2023-03-29,1838,1856,100 MOUNT OLYMPUS DR     ,No,From Building,LARCENY,43.035246,-76.1323409999999,1018
1022,2023-03-28,1817,1819,100 MOUNT OLYMPUS DR     ,No,From Building,LARCENY,43.035246,-76.1323409999999,1023
