,Address,Number of Incidents
0,1 DESTINY USA DR,428
1,500 BUTTERNUT ST     ,122
2,2500 ERIE BLVD E ,67
3,700 FIRST NORTH ST     ,57
4,4700 ONONDAGA BLVD   ,47
5,600 BUTTERNUT ST     ,39
6,200 WAVERLY AV   ,36
7,500 S SALINA ST     ,31
8,1000 W GENESEE ST     ,26
9,100 LAFAYETTE RD     ,23
10,400 S SALINA ST     ,22
11,400 VAN BUREN ST     ,21
12,900 JAMES ST     ,17
13,100 COLLEGE PL     ,17
14,200 LAFAYETTE RD     ,17
15,700 JAMES ST     ,17
16,2300 JAMES ST     ,15
17,1000 CANAL ST     ,15
18,700 IRVING AV   ,15
19,2600 ERIE BLVD E ,14
20,800 ACKERMAN AV   ,14
21,100 REMINGTON AV   ,14
22,100 DICKERSON ST     ,14
23,4000 S SALINA ST     ,13
24,4100 S SALINA ST     ,12
25,700 UNIVERSITY AV   ,12
26,300 HIAWATHA BLVD W ,12
27,400 BUTTERNUT ST     ,12
28,600 N SALINA ST     ,12
29,300 MONTGOMERY ST     ,12
30,500 ERIE BLVD W ,12
31,100 SMITH LN     ,11
32,1000 JAMES ST     ,10
33,900 W GENESEE ST     ,10
34,700 W GENESEE ST     ,10
35,100 EDTIM RD     ,10
36,800 BUTTERNUT ST     ,10
37,1800 W GENESEE ST     ,10
38,100 BALLANTYNE RD     ,10
39,1900 ERIE BLVD E ,10
40,2000 ERIE BLVD E ,9
41,300 S WARREN ST     ,9
42,400 W ONONDAGA ST     ,9
43,0 CENTENNIAL DR     ,9
44,600 PARK ST     ,9
45,800 ERIE BLVD W ,9
46,100 CROUSE DR     ,9
47,600 CARBON ST     ,9
48,900 E GENESEE ST     ,9
49,300 COURT ST     ,8
50,500 S CLINTON ST     ,8
51,100 RONEY LN     ,8
52,200 N STATE ST     ,8
53,100 POLK ST     ,8
54,1800 E FAYETTE ST     ,8
55,900 MADISON ST     ,8
56,600 JAMES ST     ,8
57,300 VILLAGE DR     ,8
58,200 S GEDDES ST     ,8
59,1200 ALMOND ST     ,8
60,700 N SALINA ST     ,8
61,400 W SENECA TPKE   ,8
62,1800 GRANT BLVD   ,8
63,300 SPRING ST     ,7
64,700 LIVINGSTON AV   ,7
65,400 WESTCOTT ST     ,7
66,600 COMSTOCK AV   ,7
67,700 N CLINTON ST     ,7
68,600 ONONDAGA AV   ,7
69,700 S CROUSE AV   ,7
70,100 RIVERDALE DR     ,7
71,900 KIRKPATRICK ST     ,7
72,800 E BRIGHTON AV   ,7
73,100 MARSHALL ST     ,7
74,200 HAWLEY AV   ,7
75,500 STATE FAIR BLVD   ,7
76,100 LAWRENCE ST     ,7
77,100 SIMON DR     ,7
78,1200 BUTTERNUT ST     ,7
79,200 EUCLID AV   ,7
80,1100 N SALINA ST     ,7
81,1400 N SALINA ST     ,7
82,600 SOUTH AV   ,7
83,700 COMSTOCK AV   ,7
84,1400 BURNET AV   ,7
85,100 VILLAGE DR     ,7
86,200 MCKINLEY AV   ,6
87,300 W KIRKPATRICK ST     ,6
88,2600 LODI ST     ,6
89,300 S CLINTON ST     ,6
90,400 COMSTOCK AV   ,6
91,100 COMSTOCK AV   ,6
92,300 AUDUBON PKWY   ,6
93,900 HIAWATHA BLVD W ,6
94,100 WALTON ST     ,6
95,2900 JAMES ST     ,6
96,200 W BRIGHTON AV   ,6
97,500 S  SALINA ST     ,6
98,1700 W  ONONDAGA ST     ,6
99,0 HARBORSIDE DR     ,6
100,1400 S SALINA ST     ,6
101,1200 HARRISON ST     ,6
102,100 FORD AV   ,6
103,700 ERIE BLVD E ,6
104,200 VILLAGE DR     ,6
105,100 WEISER CT     ,6
106,900 ACKERMAN AV   ,6
107,100 SWANSEA DR     ,6
108,700 OSTROM AV   ,6
109,200 COMSTOCK AV   ,6
110,400 N FRANKLIN ST     ,6
111,100 FORDHAM RD     ,6
112,500 S  CLINTON ST     ,6
113,500 HAWLEY AV   ,6
114,300 W NEWELL ST     ,6
115,2800 S SALINA ST     ,6
116,900 CANAL ST     ,6
117,100 CROLY ST     ,6
118,1300 GRANT BLVD   ,6
119,100 HENRY ST     ,6
120,300 S SALINA ST     ,6
121,1700 ERIE BLVD E ,6
122,100 GERTRUDE ST     ,5
123,400 GIFFORD ST     ,5
124,500 OAK ST     ,5
125,3100 JAMES ST     ,5
126,500 WESTCOTT ST     ,5
127,600 BURNET AV   ,5
128,3400 BURNET AV   ,5
129,1700 N SALINA ST     ,5
130,100 MOUNT OLYMPUS DR     ,5
131,500 EUCLID AV   ,5
132,100 FAGE AV   ,5
133,1400 S  SALINA ST     ,5
134,900 HIGHLAND ST     ,5
135,800 KIRKPATRICK ST     ,5
136,200 FELLOWS AV   ,5
137,100 SOLAR ST     ,5
138,100 LINCOLN PARK DR     ,5
139,100 GRACE ST     ,5
140,800 LIVINGSTON AVE    ,5
141,100 GRAND AV   ,5
142,700 KIRKPATRICK ST     ,5
143,700 VAN RENSSELAER ST     ,5
144,300 OAK ST     ,5
145,500 DELAWARE ST     ,5
146,300 MOUNT OLYMPUS DR     ,5
147,300 KIRK AV   ,5
148,300 WESTCOTT ST     ,5
149,700 BUTTERNUT ST     ,5
150,800 WOLF ST     ,5
151,200 THURBER ST     ,5
152,100 WASHINGTON SQ     ,5
153,1100 FIRST NORTH ST     ,5
154,1400 E GENESEE ST     ,5
155,300 E  WILLOW ST     ,5
156,1300 BUTTERNUT ST     ,5
157,300 N MIDLER AV   ,5
158,2100 S SALINA ST     ,5
159,2900 S  SALINA ST     ,5
160,1600 ERIE BLVD E ,5
161,400 S  SALINA ST     ,5
162,600 ROBINSON ST     ,5
163,2400 ERIE BLVD E ,5
164,3500 JAMES ST     ,5
165,400 MERRIMAN AV   ,5
166,300 GREEN ST     ,5
167,300 GIFFORD ST     ,5
168,100 KENWOOD AV   ,5
169,2800 JAMES ST     ,5
170,4100 S  SALINA ST     ,5
171,100 REDFIELD PL     ,5
172,400 ERIE BLVD E ,5
173,100 WOODBINE AV   ,5
174,300 PARK ST     ,5
175,100 E BRIGHTON AV   ,5
176,300 W KENNEDY ST     ,5
177,1000 W  GENESEE ST     ,4
178,200 PARK ST     ,4
179,800 N SALINA ST     ,4
180,200 DAVIS ST     ,4
